izvor,sekcija,kljuc,sr,en,ru,hr,hu
"interfejs","admin","admin.osnivaci_tbl_udeo","Udeo","Udeo","Udeo","Udeo","Udeo"
"interfejs","admin","admin.osnivaci_tbl_napomena","Napomena","Napomena","Napomena","Napomena","Napomena"
"interfejs","admin","admin.osnivaci_obrisi_btn","Obriši","Obriši","Obriši","Obriši","Obriši"
"interfejs","admin","admin.osnivaci_kanal_zakljucan","Kanal je aktiviran (broj koraka > 0) — krug osnivača je zaključan i ne može se menjati (čl. 3).","Kanal je aktiviran (broj koraka > 0) — krug osnivača je zaključan i ne može se menjati (čl. 3).","Kanal je aktiviran (broj koraka > 0) — krug osnivača je zaključan i ne može se menjati (čl. 3).","Kanal je aktiviran (broj koraka > 0) — krug osnivača je zaključan i ne može se menjati (čl. 3).","Kanal je aktiviran (broj koraka > 0) — krug osnivača je zaključan i ne može se menjati (čl. 3)."
"interfejs","admin","admin.osnivaci_dodaj_naslov","Dodaj osnivača","Dodaj osnivača","Dodaj osnivača","Dodaj osnivača","Dodaj osnivača"
"interfejs","admin","admin.osnivaci_korisnik_label","Korisnik","Korisnik","Korisnik","Korisnik","Korisnik"
"interfejs","admin","admin.osnivaci_korisnik_placeholder","— izaberi —","— izaberi —","— izaberi —","— izaberi —","— izaberi —"
"interfejs","admin","admin.osnivaci_redni_broj_label","Redni broj (registar)","Redni broj (registar)","Redni broj (registar)","Redni broj (registar)","Redni broj (registar)"
"interfejs","admin","admin.osnivaci_brojilac_label","Udeo — brojilac","Udeo — brojilac","Udeo — brojilac","Udeo — brojilac","Udeo — brojilac"
"interfejs","admin","admin.osnivaci_imenilac_label","Udeo — imenilac (isti za sve)","Udeo — imenilac (isti za sve)","Udeo — imenilac (isti za sve)","Udeo — imenilac (isti za sve)","Udeo — imenilac (isti za sve)"
"interfejs","admin","admin.osnivaci_napomena_label","Napomena (opciono)","Napomena (opciono)","Napomena (opciono)","Napomena (opciono)","Napomena (opciono)"
"interfejs","admin","admin.osnivaci_dodajem","Dodajem…","Dodajem…","Dodajem…","Dodajem…","Dodajem…"
"interfejs","admin","admin.osnivaci_dodaj_btn","Dodaj osnivača","Dodaj osnivača","Dodaj osnivača","Dodaj osnivača","Dodaj osnivača"
"interfejs","admin","admin.osnivaci_greska_dodavanja","Greška pri dodavanju.","Greška pri dodavanju.","Greška pri dodavanju.","Greška pri dodavanju.","Greška pri dodavanju."
"interfejs","admin","admin.osnivaci_greska_ucitavanja","Greška pri učitavanju.","Greška pri učitavanju.","Greška pri učitavanju.","Greška pri učitavanju.","Greška pri učitavanju."
"interfejs","admin","admin.osnivaci_greska_liste","Lista osnivača nije učitana","Lista osnivača nije učitana","Lista osnivača nije učitana","Lista osnivača nije učitana","Lista osnivača nije učitana"
"interfejs","admin","admin.osnivaci_greska_statusa","Status kanala nije učitan","Status kanala nije učitan","Status kanala nije učitan","Status kanala nije učitan","Status kanala nije učitan"
"interfejs","admin","admin.osnivaci_lista_nedostupna","Lista osnivača trenutno nije dostupna — ne dodavati dok se greška ne otkloni.","Lista osnivača trenutno nije dostupna — ne dodavati dok se greška ne otkloni.","Lista osnivača trenutno nije dostupna — ne dodavati dok se greška ne otkloni.","Lista osnivača trenutno nije dostupna — ne dodavati dok se greška ne otkloni.","Lista osnivača trenutno nije dostupna — ne dodavati dok se greška ne otkloni."
"interfejs","admin","admin.osnivaci_izmeni_btn","Izmeni","Izmeni","Izmeni","Izmeni","Izmeni"
"interfejs","admin","admin.osnivaci_sacuvaj_btn","Sačuvaj","Sačuvaj","Sačuvaj","Sačuvaj","Sačuvaj"
"interfejs","admin","admin.osnivaci_otkazi_btn","Otkaži","Otkaži","Otkaži","Otkaži","Otkaži"
"interfejs","admin","admin.osnivaci_greska_izmene","Greška pri izmeni.","Greška pri izmeni.","Greška pri izmeni.","Greška pri izmeni.","Greška pri izmeni."
"interfejs","admin","admin.osnivaci_zakljucaj_btn","Zaključaj osnivače","Zaključaj osnivače","Zaključaj osnivače","Zaključaj osnivače","Zaključaj osnivače"
"interfejs","admin","admin.osnivaci_zakljucaj_confirm","Zaključati listu osnivača? Posle zaključavanja izmene nisu moguće dok se lista ne otključa, a koraci osnivačkog doprinosa počinju da se evidentiraju.","Zaključati listu osnivača? Posle zaključavanja izmene nisu moguće dok se lista ne otključa, a koraci osnivačkog doprinosa počinju da se evidentiraju.","Zaključati listu osnivača? Posle zaključavanja izmene nisu moguće dok se lista ne otključa, a koraci osnivačkog doprinosa počinju da se evidentiraju.","Zaključati listu osnivača? Posle zaključavanja izmene nisu moguće dok se lista ne otključa, a koraci osnivačkog doprinosa počinju da se evidentiraju.","Zaključati listu osnivača? Posle zaključavanja izmene nisu moguće dok se lista ne otključa, a koraci osnivačkog doprinosa počinju da se evidentiraju."
"interfejs","admin","admin.osnivaci_zakljucaj_uslov","Zaključavanje je moguće tek kad zbir udela bude tačno 1/1 (100%).","Zaključavanje je moguće tek kad zbir udela bude tačno 1/1 (100%).","Zaključavanje je moguće tek kad zbir udela bude tačno 1/1 (100%).","Zaključavanje je moguće tek kad zbir udela bude tačno 1/1 (100%).","Zaključavanje je moguće tek kad zbir udela bude tačno 1/1 (100%)."
"interfejs","admin","admin.osnivaci_zakljucano_info","Lista osnivača je zaključana — izmene nisu moguće.","Lista osnivača je zaključana — izmene nisu moguće.","Lista osnivača je zaključana — izmene nisu moguće.","Lista osnivača je zaključana — izmene nisu moguće.","Lista osnivača je zaključana — izmene nisu moguće."
"interfejs","admin","admin.osnivaci_otkljucaj_btn","Otključaj","Otključaj","Otključaj","Otključaj","Otključaj"
"interfejs","admin","admin.osnivaci_otkljucaj_confirm","Otključati listu osnivača za izmene? Dok je otključana, koraci se ne evidentiraju.","Otključati listu osnivača za izmene? Dok je otključana, koraci se ne evidentiraju.","Otključati listu osnivača za izmene? Dok je otključana, koraci se ne evidentiraju.","Otključati listu osnivača za izmene? Dok je otključana, koraci se ne evidentiraju.","Otključati listu osnivača za izmene? Dok je otključana, koraci se ne evidentiraju."
"interfejs","admin","admin.osnivaci_evidentiraj_treba_zakljucati","Koraci se evidentiraju tek kad je lista osnivača zaključana (zbir udela 100%).","Koraci se evidentiraju tek kad je lista osnivača zaključana (zbir udela 100%).","Koraci se evidentiraju tek kad je lista osnivača zaključana (zbir udela 100%).","Koraci se evidentiraju tek kad je lista osnivača zaključana (zbir udela 100%).","Koraci se evidentiraju tek kad je lista osnivača zaključana (zbir udela 100%)."
"interfejs","admin","admin.doprinos_zatecene_naslov","Zatečeni doprinosi za sadržaj (jednokratno)","Zatečeni doprinosi za sadržaj (jednokratno)","Zatečeni doprinosi za sadržaj (jednokratno)","Zatečeni doprinosi za sadržaj (jednokratno)","Zatečeni doprinosi za sadržaj (jednokratno)"
"interfejs","admin","admin.doprinos_zatecene_opis","Prvo se doprinos naknadno BELEŽI onima koji imaju kvalifikovan oglas a nemaju nijedan zapis (zapis se izgubi ako objava pukne na pola). Zatim: Redovnim članovima kojima doprinos od 1.000 POEN stoji zabeležen, a nije evidentiran, evidentira se sada (čl. 40a, prelazni stav). Članovi bez potvrde se preskaču — njih odobravaš pojedinačno u tabu Prvi oglasi. Uz to se javlja onima kojima je doprinos evidentiran a obaveštenje nije otišlo.","The contribution is first NOTED retroactively for those who have a qualifying listing but no record at all (the record is lost if posting fails halfway). Then: Full members whose 1,000 POEN contribution is noted but not recorded have it recorded now (Art. 40a, transitional provision). Members without a confirmation are skipped — you approve those one by one in the First listings tab. Those whose contribution was recorded without a notification going out are notified as well.","Сначала вклад дополнительно ОТМЕЧАЕТСЯ тем, у кого есть подходящее объявление, но нет ни одной записи (запись теряется, если размещение прервётся на половине). Затем: Подтверждённым участникам, у которых вклад в 1 000 ПОЕН отмечен, но не внесён в учёт, он вносится сейчас (ст. 40a, переходное положение). Участники без подтверждения пропускаются — их вы одобряете по одному во вкладке «Первые объявления». Кроме того, уведомляются те, кому вклад внесён, а уведомление не ушло.","Prvo se doprinos naknadno BILJEŽI onima koji imaju kvalificirani oglas a nemaju nijedan zapis (zapis se izgubi ako objava pukne na pola). Zatim: Potvrđenim članovima kojima doprinos od 1.000 POEN stoji zabilježen, a nije evidentiran, evidentira se sada (čl. 40a, prijelazna odredba). Članovi bez potvrde se preskaču — njih odobravaš pojedinačno u kartici Prvi oglasi. Uz to se javlja onima kojima je doprinos evidentiran a obavijest nije otišla.","A hozzájárulás előbb utólag FELJEGYZÉSRE kerül azoknak, akiknek van megfelelő hirdetésük, de nincs egyetlen bejegyzésük sem (a bejegyzés elvész, ha a közzététel félúton megszakad). Ezután: Azoknál a rendes tagoknál, akiknél az 1.000 POEN hozzájárulás fel van jegyezve, de nincs nyilvántartásba véve, most bevezetésre kerül (40a. cikk, átmeneti rendelkezés). A megerősítés nélküli tagok kimaradnak — őket egyenként hagyod jóvá az Első hirdetések fülön. Emellett értesítést kapnak azok is, akiknél a bevezetés megtörtént, de az értesítés nem ment ki."
"interfejs","admin","admin.doprinos_zatecene_btn","Evidentiraj zatečene","Evidentiraj zatečene","Evidentiraj zatečene","Evidentiraj zatečene","Evidentiraj zatečene"
"interfejs","admin","admin.doprinos_zatecene_loading","Evidentiram…","Evidentiram…","Evidentiram…","Evidentiram…","Evidentiram…"
"interfejs","admin","admin.doprinos_zatecene_napomena","Opticaj skače za 1.000 × broj razrešenih. Pošto se osnivački korak evidentira automatski na svakih 100.000 POEN, prva noćna emisija posle ovoga može da upali korak. Ponovno pokretanje ne evidentira dvaput.","Opticaj skače za 1.000 × broj razrešenih. Pošto se osnivački korak evidentira automatski na svakih 100.000 POEN, prva noćna emisija posle ovoga može da upali korak. Ponovno pokretanje ne evidentira dvaput.","Opticaj skače za 1.000 × broj razrešenih. Pošto se osnivački korak evidentira automatski na svakih 100.000 POEN, prva noćna emisija posle ovoga može da upali korak. Ponovno pokretanje ne evidentira dvaput.","Opticaj skače za 1.000 × broj razrešenih. Pošto se osnivački korak evidentira automatski na svakih 100.000 POEN, prva noćna emisija posle ovoga može da upali korak. Ponovno pokretanje ne evidentira dvaput.","Opticaj skače za 1.000 × broj razrešenih. Pošto se osnivački korak evidentira automatski na svakih 100.000 POEN, prva noćna emisija posle ovoga može da upali korak. Ponovno pokretanje ne evidentira dvaput."
"interfejs","admin","admin.doprinos_zatecene_confirm","Evidentirati sada sve zatečene doprinose redovnih članova? Opticaj će porasti i to može da upali osnivački korak.","Record all pending contributions of full members now? Circulation will rise, which may trigger a founding step.","Внести сейчас все отмеченные вклады действительных участников? Оборот вырастет, и это может запустить учредительный шаг.","Evidentirati sada sve zatečene doprinose redovnih članova? Optjecaj će porasti i to može upaliti osnivački korak.","Bevezetjük most a rendes tagok összes fennálló hozzájárulását? A forgalom nő, ami elindíthat egy alapítói lépést."
"interfejs","admin","admin.doprinos_zatecene_gotovo","Naknadno zabeleženo: {zabelezeno}. Razrešeno: {evidentirano}. U opticaj ušlo {poen} POEN. Preskočeno novih članova: {preskoceno}. Poslato obaveštenja: {obavesteno}.","Noted retroactively: {zabelezeno}. Resolved: {evidentirano}. Entered circulation: {poen} POEN. Skipped (unconfirmed): {preskoceno}. Notifications sent: {obavesteno}.","Дополнительно отмечено: {zabelezeno}. Обработано: {evidentirano}. В оборот вошло {poen} ПОЕН. Пропущено без подтверждения: {preskoceno}. Отправлено уведомлений: {obavesteno}.","Naknadno zabilježeno: {zabelezeno}. Riješeno: {evidentirano}. U optjecaj ušlo {poen} POEN. Preskočeno bez potvrde: {preskoceno}. Poslano obavijesti: {obavesteno}.","Utólag feljegyezve: {zabelezeno}. Rendezve: {evidentirano}. Forgalomba került: {poen} POEN. Kihagyva megerősítés nélkül: {preskoceno}. Kiküldött értesítések: {obavesteno}."
"interfejs","admin","admin.osnivaci_obrisi_confirm","Obrisati osnivača?","Obrisati osnivača?","Obrisati osnivača?","Obrisati osnivača?","Obrisati osnivača?"
"interfejs","admin","admin.osnivaci_ucitavanje","Učitavanje…","Učitavanje…","Učitavanje…","Učitavanje…","Učitavanje…"
"interfejs","admin","admin.pokr_prijave_ucitavanje","Učitavanje…","Učitavanje…","Učitavanje…","Učitavanje…","Učitavanje…"
"interfejs","admin","admin.pokr_prijave_nema","Nema prijava pokroviteljstva.","Nema prijava pokroviteljstva.","Nema prijava pokroviteljstva.","Nema prijava pokroviteljstva.","Nema prijava pokroviteljstva."
"interfejs","admin","admin.pokr_prijave_vrsta_novac","Novac","Novac","Novac","Novac","Novac"
"interfejs","admin","admin.pokr_prijave_vrsta_roba","Roba","Roba","Roba","Roba","Roba"
"interfejs","admin","admin.pokr_prijave_vrsta_usluge","Usluge","Usluge","Usluge","Usluge","Usluge"
"interfejs","admin","admin.pokr_prijave_status_ceka_potpis","Čeka potpis","Čeka potpis","Čeka potpis","Čeka potpis","Čeka potpis"
"interfejs","admin","admin.pokr_prijave_status_potpisana","Potpisana — čeka potvrdu","Potpisana — čeka potvrdu","Potpisana — čeka potvrdu","Potpisana — čeka potvrdu","Potpisana — čeka potvrdu"
"interfejs","admin","admin.pokr_prijave_status_potvrdjena","Potvrđena","Potvrđena","Potvrđena","Potvrđena","Potvrđena"
"interfejs","admin","admin.pokr_prijave_status_odbijena","Odbijena","Odbijena","Odbijena","Odbijena","Odbijena"
"interfejs","admin","admin.pokr_prijave_podneo","podneo <ime>{pseudonim}</ime>","podneo <ime>{pseudonim}</ime>","podneo <ime>{pseudonim}</ime>","podneo <ime>{pseudonim}</ime>","podneo <ime>{pseudonim}</ime>"
"interfejs","admin","admin.pokr_prijave_detalji_btn","Detalji","Detalji","Detalji","Detalji","Detalji"
"interfejs","admin","admin.pokr_prijave_potvrdi_btn","Potvrdi","Potvrdi","Potvrdi","Potvrdi","Potvrdi"
"interfejs","admin","admin.pokr_prijave_odbij_btn","Odbij","Odbij","Odbij","Odbij","Odbij"
"interfejs","admin","admin.pokr_prijave_potvrdi_confirm","Potvrditi prijem doprinosa? Emitovaće se bonus POEN prema nivoima.","Potvrditi prijem doprinosa? Emitovaće se bonus POEN prema nivoima.","Potvrditi prijem doprinosa? Emitovaće se bonus POEN prema nivoima.","Potvrditi prijem doprinosa? Emitovaće se bonus POEN prema nivoima.","Potvrditi prijem doprinosa? Emitovaće se bonus POEN prema nivoima."
"interfejs","admin","admin.pokr_prijave_potvrdjeno_msg","Potvrđeno. Bonus: {bonus} POEN.","Potvrđeno. Bonus: {bonus} POEN.","Potvrđeno. Bonus: {bonus} POEN.","Potvrđeno. Bonus: {bonus} POEN.","Potvrđeno. Bonus: {bonus} POEN."
"interfejs","admin","admin.pokr_prijave_odbij_razlog_prompt","Razlog odbijanja (korisnik će ga videti):","Razlog odbijanja (korisnik će ga videti):","Razlog odbijanja (korisnik će ga videti):","Razlog odbijanja (korisnik će ga videti):","Razlog odbijanja (korisnik će ga videti):"
"interfejs","admin","admin.pokr_prijave_ugovor_naslov","Ugovor o donaciji","Ugovor o donaciji","Ugovor o donaciji","Ugovor o donaciji","Ugovor o donaciji"
"interfejs","admin","admin.pokr_prijave_cenovnik_naslov","Maloprodajni cenovnik","Maloprodajni cenovnik","Maloprodajni cenovnik","Maloprodajni cenovnik","Maloprodajni cenovnik"
"interfejs","admin","admin.pokr_prijave_cenovnik_alt","Cenovnik","Cenovnik","Cenovnik","Cenovnik","Cenovnik"
"interfejs","admin","admin.pokr_prijave_zatvori","Zatvori","Zatvori","Zatvori","Zatvori","Zatvori"
"interfejs","admin","admin.donacije_nacin_ips","IPS QR","IPS QR","IPS QR","IPS QR","IPS QR"
"interfejs","admin","admin.donacije_izvod_naslov","Evidentiraj uplatu iz izvoda","Evidentiraj uplatu iz izvoda","Evidentiraj uplatu iz izvoda","Evidentiraj uplatu iz izvoda","Evidentiraj uplatu iz izvoda"
"interfejs","admin","admin.donacije_izvod_opis","Unesite poziv na broj sa priliva (model 97) — on identifikuje člana. Kontrolne cifre se proveravaju, pa pogrešan prepis ne može da prođe.","Unesite poziv na broj sa priliva (model 97) — on identifikuje člana. Kontrolne cifre se proveravaju, pa pogrešan prepis ne može da prođe.","Unesite poziv na broj sa priliva (model 97) — on identifikuje člana. Kontrolne cifre se proveravaju, pa pogrešan prepis ne može da prođe.","Unesite poziv na broj sa priliva (model 97) — on identifikuje člana. Kontrolne cifre se proveravaju, pa pogrešan prepis ne može da prođe.","Unesite poziv na broj sa priliva (model 97) — on identifikuje člana. Kontrolne cifre se proveravaju, pa pogrešan prepis ne može da prođe."
"interfejs","admin","admin.donacije_izvod_pnb_placeholder","Poziv na broj (npr. 42-15)","Poziv na broj (npr. 42-15)","Poziv na broj (npr. 42-15)","Poziv na broj (npr. 42-15)","Poziv na broj (npr. 42-15)"
"interfejs","admin","admin.donacije_izvod_iznos_placeholder","Iznos","Iznos","Iznos","Iznos","Iznos"
"interfejs","admin","admin.donacije_izvod_evidentiraj","Evidentiraj","Evidentiraj","Evidentiraj","Evidentiraj","Evidentiraj"
"interfejs","admin","admin.donacije_izvod_anonimna","Anonimna donacija (bez POEN-a)","Anonimna donacija (bez POEN-a)","Anonimna donacija (bez POEN-a)","Anonimna donacija (bez POEN-a)","Anonimna donacija (bez POEN-a)"
"interfejs","admin","admin.donacije_iznos_korekcija","Iznos za potvrdu — korigujte prema stvarnom prilivu iz izvoda","Iznos za potvrdu — korigujte prema stvarnom prilivu iz izvoda","Iznos za potvrdu — korigujte prema stvarnom prilivu iz izvoda","Iznos za potvrdu — korigujte prema stvarnom prilivu iz izvoda","Iznos za potvrdu — korigujte prema stvarnom prilivu iz izvoda"
"interfejs","admin","admin.tab_obavestenja","Obaveštenja","Obaveštenja","Obaveštenja","Obaveštenja","Obaveštenja"
"interfejs","admin","admin.obav_upozorenje_naslov","Samo sistemska obaveštenja","Samo sistemska obaveštenja","Samo sistemska obaveštenja","Samo sistemska obaveštenja","Samo sistemska obaveštenja"
"interfejs","admin","admin.obav_upozorenje","Ovaj kanal služi isključivo za obaveštenja koja Fondacija duguje korisnicima: izmene Uslova i Politike privatnosti (Uslovi čl. 40, Politika čl. 16 — najmanje 15 dana unapred), planirani zastoj duži od 24 sata (Uslovi čl. 33) i slično. Poruka stiže svim korisnicima i onima koji su isključili email obaveštenja. Vesti i bilten se NE šalju ovim putem — za to je potrebna dopuna Politike privatnosti (čl. 8) i zaseban pristanak korisnika.","Ovaj kanal služi isključivo za obaveštenja koja Fondacija duguje korisnicima: izmene Uslova i Politike privatnosti (Uslovi čl. 40, Politika čl. 16 — najmanje 15 dana unapred), planirani zastoj duži od 24 sata (Uslovi čl. 33) i slično. Poruka stiže svim korisnicima i onima koji su isključili email obaveštenja. Vesti i bilten se NE šalju ovim putem — za to je potrebna dopuna Politike privatnosti (čl. 8) i zaseban pristanak korisnika.","Ovaj kanal služi isključivo za obaveštenja koja Fondacija duguje korisnicima: izmene Uslova i Politike privatnosti (Uslovi čl. 40, Politika čl. 16 — najmanje 15 dana unapred), planirani zastoj duži od 24 sata (Uslovi čl. 33) i slično. Poruka stiže svim korisnicima i onima koji su isključili email obaveštenja. Vesti i bilten se NE šalju ovim putem — za to je potrebna dopuna Politike privatnosti (čl. 8) i zaseban pristanak korisnika.","Ovaj kanal služi isključivo za obaveštenja koja Fondacija duguje korisnicima: izmene Uslova i Politike privatnosti (Uslovi čl. 40, Politika čl. 16 — najmanje 15 dana unapred), planirani zastoj duži od 24 sata (Uslovi čl. 33) i slično. Poruka stiže svim korisnicima i onima koji su isključili email obaveštenja. Vesti i bilten se NE šalju ovim putem — za to je potrebna dopuna Politike privatnosti (čl. 8) i zaseban pristanak korisnika.","Ovaj kanal služi isključivo za obaveštenja koja Fondacija duguje korisnicima: izmene Uslova i Politike privatnosti (Uslovi čl. 40, Politika čl. 16 — najmanje 15 dana unapred), planirani zastoj duži od 24 sata (Uslovi čl. 33) i slično. Poruka stiže svim korisnicima i onima koji su isključili email obaveštenja. Vesti i bilten se NE šalju ovim putem — za to je potrebna dopuna Politike privatnosti (čl. 8) i zaseban pristanak korisnika."
"interfejs","admin","admin.obav_novo","Novo obaveštenje","Novo obaveštenje","Novo obaveštenje","Novo obaveštenje","Novo obaveštenje"
"interfejs","admin","admin.obav_primalaca","Trenutno bi poruku primilo {broj} korisnika.","Trenutno bi poruku primilo {broj} korisnika.","Trenutno bi poruku primilo {broj} korisnika.","Trenutno bi poruku primilo {broj} korisnika.","Trenutno bi poruku primilo {broj} korisnika."
"interfejs","admin","admin.obav_naslov_polje","Naslov","Naslov","Naslov","Naslov","Naslov"
"interfejs","admin","admin.obav_naslov_placeholder","Izmena Uslova korišćenja","Izmena Uslova korišćenja","Izmena Uslova korišćenja","Izmena Uslova korišćenja","Izmena Uslova korišćenja"
"interfejs","admin","admin.obav_tekst_polje","Tekst","Tekst","Tekst","Tekst","Tekst"
"interfejs","admin","admin.obav_tekst_placeholder","Obaveštavamo vas da…","Obaveštavamo vas da…","Obaveštavamo vas da…","Obaveštavamo vas da…","Obaveštavamo vas da…"
"interfejs","admin","admin.obav_osnov_polje","Pravni osnov","Pravni osnov","Pravni osnov","Pravni osnov","Pravni osnov"
"interfejs","admin","admin.obav_osnov_placeholder","Uslovi čl. 40","Uslovi čl. 40","Uslovi čl. 40","Uslovi čl. 40","Uslovi čl. 40"
"interfejs","admin","admin.obav_osnov_opis","Odredba iz koje proizlazi obaveza slanja. Upisuje se u audit log i u podnožje mejla.","Odredba iz koje proizlazi obaveza slanja. Upisuje se u audit log i u podnožje mejla.","Odredba iz koje proizlazi obaveza slanja. Upisuje se u audit log i u podnožje mejla.","Odredba iz koje proizlazi obaveza slanja. Upisuje se u audit log i u podnožje mejla.","Odredba iz koje proizlazi obaveza slanja. Upisuje se u audit log i u podnožje mejla."
"interfejs","admin","admin.obav_link_polje","Link (opciono)","Link (opciono)","Link (opciono)","Link (opciono)","Link (opciono)"
"interfejs","admin","admin.obav_link_opis","Putanja unutar platforme, npr. /uslovi.","Putanja unutar platforme, npr. /uslovi.","Putanja unutar platforme, npr. /uslovi.","Putanja unutar platforme, npr. /uslovi.","Putanja unutar platforme, npr. /uslovi."
"interfejs","admin","admin.obav_napravi","Napravi nacrt","Napravi nacrt","Napravi nacrt","Napravi nacrt","Napravi nacrt"
"interfejs","admin","admin.obav_cuvam","Čuvam…","Čuvam…","Čuvam…","Čuvam…","Čuvam…"
"interfejs","admin","admin.obav_nacrt_napravljen","Nacrt je napravljen. Pošaljite probu sebi pre slanja svima.","Nacrt je napravljen. Pošaljite probu sebi pre slanja svima.","Nacrt je napravljen. Pošaljite probu sebi pre slanja svima.","Nacrt je napravljen. Pošaljite probu sebi pre slanja svima.","Nacrt je napravljen. Pošaljite probu sebi pre slanja svima."
"interfejs","admin","admin.obav_lista","Poslednja obaveštenja","Poslednja obaveštenja","Poslednja obaveštenja","Poslednja obaveštenja","Poslednja obaveštenja"
"interfejs","admin","admin.obav_ucitavam","Učitavam…","Učitavam…","Učitavam…","Učitavam…","Učitavam…"
"interfejs","admin","admin.obav_nema","Još nema obaveštenja.","Još nema obaveštenja.","Još nema obaveštenja.","Još nema obaveštenja.","Još nema obaveštenja."
"interfejs","admin","admin.obav_status_nacrt","Nacrt","Nacrt","Nacrt","Nacrt","Nacrt"
"interfejs","admin","admin.obav_status_u_slanju","U slanju","U slanju","U slanju","U slanju","U slanju"
"interfejs","admin","admin.obav_status_poslato","Poslato","Poslato","Poslato","Poslato","Poslato"
"interfejs","admin","admin.obav_status_prekinuto","Prekinuto","Prekinuto","Prekinuto","Prekinuto","Prekinuto"
"interfejs","admin","admin.obav_proba","Pošalji probu sebi","Pošalji probu sebi","Pošalji probu sebi","Pošalji probu sebi","Pošalji probu sebi"
"interfejs","admin","admin.obav_proba_poslata","Proba je poslata na {email}.","Proba je poslata na {email}.","Proba je poslata na {email}.","Proba je poslata na {email}.","Proba je poslata na {email}."
"interfejs","admin","admin.obav_posalji","Pošalji svima","Pošalji svima","Pošalji svima","Pošalji svima","Pošalji svima"
"interfejs","admin","admin.obav_nastavi","Nastavi slanje","Nastavi slanje","Nastavi slanje","Nastavi slanje","Nastavi slanje"
"interfejs","admin","admin.obav_salje","Šaljem…","Šaljem…","Šaljem…","Šaljem…","Šaljem…"
"interfejs","admin","admin.obav_prekini","Prekini","Prekini","Prekini","Prekini","Prekini"
"interfejs","admin","admin.obav_potvrda","Poruka će biti poslata na {broj} adresa i ne može se povući. Nastaviti?","Poruka će biti poslata na {broj} adresa i ne može se povući. Nastaviti?","Poruka će biti poslata na {broj} adresa i ne može se povući. Nastaviti?","Poruka će biti poslata na {broj} adresa i ne može se povući. Nastaviti?","Poruka će biti poslata na {broj} adresa i ne može se povući. Nastaviti?"
"interfejs","admin","admin.obav_napredak","Poslato {poslato} od {ukupno} · neuspelo {neuspesno}","Poslato {poslato} od {ukupno} · neuspelo {neuspesno}","Poslato {poslato} od {ukupno} · neuspelo {neuspesno}","Poslato {poslato} od {ukupno} · neuspelo {neuspesno}","Poslato {poslato} od {ukupno} · neuspelo {neuspesno}"
"interfejs","admin","admin.obav_greska","Nešto nije uspelo. Pokušajte ponovo.","Nešto nije uspelo. Pokušajte ponovo.","Nešto nije uspelo. Pokušajte ponovo.","Nešto nije uspelo. Pokušajte ponovo.","Nešto nije uspelo. Pokušajte ponovo."
"interfejs","admin","admin.tab_levak","Levak","Levak","Levak","Levak","Levak"
"interfejs","admin","admin.levak_opis","Gde ljudi otpadaju od registracije do objavljenog oglasa. Grupisano po nedelji registracije; korak se broji ako je čovek to IKAD uradio, pa se stariji redovi dopunjavaju i kasnije. Crveno je najveći pad — tu je čep.","Gde ljudi otpadaju od registracije do objavljenog oglasa. Grupisano po nedelji registracije; korak se broji ako je čovek to IKAD uradio, pa se stariji redovi dopunjavaju i kasnije. Crveno je najveći pad — tu je čep.","Gde ljudi otpadaju od registracije do objavljenog oglasa. Grupisano po nedelji registracije; korak se broji ako je čovek to IKAD uradio, pa se stariji redovi dopunjavaju i kasnije. Crveno je najveći pad — tu je čep.","Gde ljudi otpadaju od registracije do objavljenog oglasa. Grupisano po nedelji registracije; korak se broji ako je čovek to IKAD uradio, pa se stariji redovi dopunjavaju i kasnije. Crveno je najveći pad — tu je čep.","Gde ljudi otpadaju od registracije do objavljenog oglasa. Grupisano po nedelji registracije; korak se broji ako je čovek to IKAD uradio, pa se stariji redovi dopunjavaju i kasnije. Crveno je najveći pad — tu je čep."
"interfejs","admin","admin.levak_ukupno","Ukupno","Ukupno","Ukupno","Ukupno","Ukupno"
"interfejs","admin","admin.levak_kolona_korak","Korak","Korak","Korak","Korak","Korak"
"interfejs","admin","admin.levak_kolona_ljudi","Ljudi","Ljudi","Ljudi","Ljudi","Ljudi"
"interfejs","admin","admin.levak_kolona_prolaz","Prolaz","Prolaz","Prolaz","Prolaz","Prolaz"
"interfejs","admin","admin.levak_k_registrovani","Registrovali se","Registrovali se","Registrovali se","Registrovali se","Registrovali se"
"interfejs","admin","admin.levak_k_otvorili_poverenje","Otvorili Potvrde","Opened Confirmations","Otvorili подтверждение ili tablu","Otvorili potvrdu ili tablu","Otvorili verifikaciju ili tablu"
"interfejs","admin","admin.levak_k_verifikovani","Neko ih potvrdio","Someone confirmed them","Их кто-то подтвердил","Netko ih potvrdio","Neko ih verifikovao"
"interfejs","admin","admin.levak_k_otvorili_formu","Otvorili formu za oglas","Otvorili formu za oglas","Otvorili formu za oglas","Otvorili formu za oglas","Otvorili formu za oglas"
"interfejs","admin","admin.levak_k_objavili_oglas","Objavili oglas","Objavili oglas","Objavili oglas","Objavili oglas","Objavili oglas"
"interfejs","admin","admin.levak_dana_verifikacija","Prosečno dana od registracije do potvrde","Average days from signup to confirmation","В среднем дней от регистрации до подтверждения","Prosečno dana od registracije do potvrde","Prosečno dana od registracije do verifikacije"
